index,G1,G2,G3
1991-01-01,-1.7653873988931466,-1.1940277777777766,0.1456641123882506
1991-01-02,-0.27561834823329073,0.17472222222222197,1.3994316730523613
1991-01-03,-0.8999765857811853,0.6631481481481476,0.33983113381580865
1991-01-04,-0.7742997020008501,-0.44541666666666746,-2.636415495955726
1991-01-05,-1.953983610046827,-0.5579166666666664,-2.419845324251454
1991-01-06,-1.7743719211822657,-4.6296296296182046e-05,-0.7977011494252876
1991-01-07,-1.4541996594295437,0.5092592592592586,0.9022662125727261
1991-01-08,-0.6684126984126989,0.6606481481481481,1.8536526181353763
1991-01-09,-0.17863095238095403,0.902222222222222,2.375687526607066
1991-01-10,-0.36881089217296115,1.2876851851851843,1.2320647083865472
1991-01-11,0.4065941434044878,0.42157407407407455,-0.5346920675464726
1991-01-12,-1.4088292890591745,-1.0710648148148154,-2.324247906910743
1991-01-13,-0.6234345922276946,-1.1452314814814812,-1.8789612601106853
1991-01-14,-0.06107386121753914,0.36888888888888793,-0.40167163331914363
1991-01-15,0.3345436507936513,0.6787037037037029,0.24171846175677636
1991-01-16,0.8702928297755879,0.6829166666666682,-1.2186249467858674
1991-01-17,-1.656245894909689,-1.802407407407407,-5.846163615723004
1991-01-18,-2.7241399835796387,-0.8278703703703698,-2.8740279551582235
1991-01-19,-1.9932247765006388,0.09421296296296242,0.9957193030468893
1991-01-20,-0.6121093322386445,1.29837962962963,2.7036029516106144
1991-01-21,0.9568529161345243,2.0096296296296297,2.1093856048166395
1991-01-22,1.1009845374931597,1.3998148148148148,-0.2342797847108196
1991-01-23,0.26931718664477344,1.2742592592592592,-0.6251724137931041
1991-01-24,-1.3636241105637652,0.06717592592592678,-2.601551724137931
1991-01-25,-3.7476046798029556,-1.9933796296296293,-3.1232503192848027
1991-01-26,-3.287015751383567,-2.7383333333333337,-2.092605363984674
1991-01-27,-2.3293206075533655,-1.592731481481481,-2.626223773034117
1991-01-28,-1.30255534269902,-0.19587962962962993,-1.944496898376209
1991-01-29,-0.3961973180076643,0.7298611111111102,-0.3768773946360149
1991-01-30,-1.9302853037766827,-1.028240740740741,-1.978103448275862
1991-01-31,-0.2607266009852219,-1.902222222222222,-2.988939974457215
1991-02-01,-0.622840038314175,-0.9869907407407403,-1.7321145776318199
1991-02-02,-0.7716741166453804,-0.023842592592591166,-0.001715471629264837
1991-02-03,-0.5399651067323473,0.7866203703703718,0.8429433497536947
1991-02-04,-0.9871442255062947,-0.36398148148148124,0.5752596849723288
1991-02-05,-0.5649514230979739,0.30439814814814703,0.9837557521944496
1991-02-06,-0.5297495894909682,-0.10620370370370227,-0.0503885138559477
1991-02-07,-1.4120612874779546,-0.07648148148148073,0.21442483123517656
1991-02-08,-0.9093849206349187,-0.02462962962963025,0.6310176062762269
1991-02-09,-0.47659003831417657,-0.07041666666666749,1.2348540412333509
1991-02-10,-0.3180952380952379,-0.4669061302681996,0.7581746031746026
1991-02-11,0.7298809523809506,0.5350574712643681,2.958096816976128
1991-02-12,0.12462301587301577,-0.2657215836526179,-0.3599402481299035
1991-02-13,-0.36051587301587124,-2.2956800766283534,-2.9712434876036395
1991-02-14,-0.8600992063492056,-3.5725654533844193,-5.267379584017515
1991-02-15,-2.239662698412698,-4.64581417624521,-5.848492063492063
1991-02-16,-1.6643188590889733,-3.183917624521074,-4.197224958949097
1991-02-17,-0.4854166666666669,-1.767785759897829,-1.9546715927750407
1991-02-18,-0.9148809523809517,-1.2221743295019154,-0.48611364511747523
1991-02-19,-0.9821075837742507,-0.530172413793105,-0.16223544973544948
1991-02-20,-1.0703902116402109,-0.21344667943805984,0.9122787812442977
1991-02-21,-1.326369047619048,0.3071599616858238,1.281729155263639
1991-02-22,-0.5014792768959419,-1.3182950191570884,-0.35904670680532763
1991-02-23,-1.791028342666274,-3.1162005108556827,-4.756352855318372
1991-02-24,-2.479146825396826,-2.501398467432951,-2.6244366903849663
1991-02-25,-2.7769620811287488,-0.5658030012771391,0.5509123943319337
1991-02-26,-1.2585185185185186,0.07727011494252878,3.6675857507754066
1991-02-27,-0.21570987654320994,0.906497445721584,4.122504409171076
1991-02-28,0.2334259259259254,0.648290229885057,2.1939609053497957
1991-03-01,-0.8344274977895682,0.8612276500638556,2.035701463642077
1991-03-02,-0.7679634951042994,0.6972445721583655,1.4195146871008946
1991-03-03,0.47083827464574607,1.5879948914431683,2.721247896774715
1991-03-04,-0.5985782967032964,0.3843358876117504,0.49120735267286936
1991-03-05,-2.3980845027221833,-0.9549233716475101,-1.6331364917188678
1991-03-06,-2.468669031585698,-0.44185823754789233,-0.5736066512599076
1991-03-07,-0.4808092833092825,1.579002234993614,1.93197672768554
1991-03-08,0.5670037449778823,2.2267528735632185,3.6250789596383464
1991-03-09,0.039518601343313975,2.7876915708812264,2.544685681850433
1991-03-10,0.07037325913762695,0.8432024265644955,-0.8119391230310775
1991-03-11,0.40566250416250443,0.69550606641124,0.5812447546068237
1991-03-12,-0.03033259949926523,0.638700510855684,0.5050183462060858
1991-03-13,0.5221842971842966,0.09149106002554408,0.43041152263374527
1991-03-14,-0.8481941823608476,-0.22411398467432964,-0.24622250603093457
1991-03-15,-1.4319376814441782,-0.3337212643678171,-0.5693343165278036
1991-03-16,-2.0977092955353824,-0.014532247765005835,0.8280154675748549
1991-03-17,-1.1836065323565321,-0.4960073435504473,-0.7434515193902169
1991-03-18,-0.04585224558050586,-0.9602538314176243,-0.29178287619858523
1991-03-19,-0.01666666666666629,0.28886174968071465,0.7356127734192854
1991-03-20,0.8601163342830004,1.079698275862068,1.182234030691885
